provinsi_id,kode_satker,nama satuankerja
9,1900,BPS Provinsi Kep. Bangka Belitung
9,1901,BPS Kabupaten Bangka
9,1902,BPS Kabupaten Belitung
9,1903,BPS Kabupaten Bangka Barat
9,1904,BPS Kabupaten Bangka Tengah
9,1905,BPS Kabupaten Bangka Selatan
9,1906,BPS Kabupaten Belitung Timur
9,1971,BPS Kota Pangkalpinang
10,2100,BPS Provinsi Kep. Riau
10,2101,BPS Kabupaten Karimun
10,2102,BPS Kabupaten Bintan
10,2103,BPS Kabupaten Natuna
10,2104,BPS Kabupaten Lingga
10,2105,BPS Kabupaten Kepulauan Anambas
10,2171,BPS Kota B A T A M
10,2172,BPS Kota Tanjung Pinang
11,3100,BPS Provinsi Dki Jakarta
11,3101,BPS Kabupaten Kepulauan Seribu
11,3171,BPS Kota Jakarta Selatan
11,3172,BPS Kota Jakarta Timur
11,3173,BPS Kota Jakarta Pusat
11,3174,BPS Kota Jakarta Barat
11,3175,BPS Kota Jakarta Utara
12,3200,BPS Provinsi Jawa Barat
12,3201,BPS Kabupaten Bogor
12,3202,BPS Kabupaten Sukabumi
12,3203,BPS Kabupaten Cianjur
12,3204,BPS Kabupaten Bandung
12,3205,BPS Kabupaten Garut
12,3206,BPS Kabupaten Tasikmalaya
12,3207,BPS Kabupaten Ciamis
12,3208,BPS Kabupaten Kuningan
12,3209,BPS Kabupaten Cirebon
12,3210,BPS Kabupaten Majalengka
12,3211,BPS Kabupaten Sumedang
12,3212,BPS Kabupaten Indramayu
12,3213,BPS Kabupaten Subang
12,3214,BPS Kabupaten Purwakarta
12,3215,BPS Kabupaten Karawang
12,3216,BPS Kabupaten Bekasi
12,3217,BPS Kabupaten Bandung Barat
12,3218,BPS Kabupaten Pangandaran
12,3271,BPS Kota Bogor
12,3272,BPS Kota Sukabumi
12,3273,BPS Kota Bandung
12,3274,BPS Kota Cirebon
12,3275,BPS Kota Bekasi
12,3276,BPS Kota Depok
12,3277,BPS Kota Cimahi
12,3278,BPS Kota Tasikmalaya
12,3279,BPS Kota Banjar
13,3300,BPS Provinsi Jawa Tengah
13,3301,BPS Kabupaten Cilacap
13,3302,BPS Kabupaten Banyumas
13,3303,BPS Kabupaten Purbalingga
13,3304,BPS Kabupaten Banjarnegara
13,3305,BPS Kabupaten Kebumen
13,3306,BPS Kabupaten Purworejo
